country,latitude,longitude,aid_r,aid_d,data2,total
Saudi Arabia,23.885942,45.079162,4877.749103,1698.410689,4877.749103-1698.41068899999,6576.159792
India,20.593684,78.96288,133980.47,0,133980.469969-0,133980.47
Brazil,-14.235004,-51.92528,36607.25808,1.13444,36607.258078-1.13443999999999,36608.39252
Taiwan,23.69781,120.960515,3399.55441,83.737498,3399.55440999999-83.737498,3483.291908
Korea,37.663998,127.978462,25294.32345,1299.04772,25294.3234529999-1299.04772,26593.37117
Kuwait,29.31166,47.481766,7771.540076,1369.078319,7771.54007599999-1369.07831899999,9140.618395
Cyprus,35.126413,33.429859,968.154947,0.005599,968.154947-0.005599,968.160546
Lithuania,55.169438,23.881275,514.14327,0,514.14327-0,514.14327
Thailand,15.870032,100.992541,49041.31744,0.025461,49041.3174399998-0.025461,49041.3429
Slovak Republic,48.669026,19.699024,821.195623,0.395574,821.195623-0.395574,821.591197
Qatar,25.354826,51.183884,733.783749,104.519053,733.783749-104.519053,838.302802
United States,37.09024,-95.712891,104.524992,116176.3381,104.524992-116176.338066,116280.8631
South Africa,-30.559482,22.937506,18655.55507,0,18655.5550699999-0,18655.55507
Colombia,4.570868,-74.297333,25530.53631,0.190795,25530.536307-0.190795,25530.7271
France,46.227638,2.213749,237.540854,15456.45964,237.540854-15456.459635,15694.00049
Chile,-35.675147,-71.542969,7334.12913,0.564349,7334.12913000001-0.564349,7334.693479
Estonia,58.595272,25.013607,251.349503,0.278942,251.349502999999-0.278942,251.628445
Poland,51.919438,19.145136,24517.22519,0.403184,24517.225188-0.403184,24517.62837
Czech Republic,49.817492,15.472962,2141.913341,8.930435,2141.913341-8.930435,2150.843776
Hungary,47.162494,19.503304,2925.327491,0.324552,2925.327491-0.324552,2925.652043
Romania,45.943161,24.96676,3329.059861,0,3329.05986099999-0,3329.059861
Canada,56.130366,-106.346771,4068.652966,7466.3382,4068.65296599999-7466.33819999999,11534.99117
Australia,-25.274398,133.775136,2572.618261,2446.616312,2572.618261-2446.61631199999,5019.234573
Sweden,60.128161,18.643501,59.757155,6364.045876,59.757155-6364.04587600001,6423.803031
Denmark,56.26392,9.501785,166.310586,2952.416405,166.310586-2952.416405,3118.726991
Finland,61.92411,25.748151,180.695493,665.953415,180.695493-665.953415,846.648908
Greece,39.074208,21.824312,519.377906,32.667185,519.377905999999-32.667185,552.045091
Austria,47.516231,14.550072,770.267419,784.068952,770.267418999999-784.068952,1554.336371
Ireland,53.41291,-8.24389,934.638729,295.144458,934.638728999999-295.144457999999,1229.783187
Japan,36.204824,138.252924,2081.102258,114182.2542,2081.102258-114182.254172,116263.3564
Luxembourg,49.815273,6.129583,555.039832,111.554022,555.039831999999-111.554022,666.593854
New Zealand,-40.900557,174.885971,225.58831,56.749885,225.58831-56.749885,282.338195
United Kingdom,55.378051,-3.435973,957.343964,23690.53938,957.343964-23690.539376,24647.88334
Belgium,50.503887,4.469936,184.346233,2144.44527,184.346233-2144.44526999999,2328.791503
Norway,60.472024,8.468946,368.001981,4416.814418,368.001981-4416.814418,4784.816399
Italy,41.87194,12.56738,2400.826417,3835.655974,2400.826417-3835.655974,6236.482391
Portugal,39.399872,-8.224454,175.242606,68.900866,175.242606-68.900866,244.143472
Spain,40.463667,-3.74922,561.711808,2014.695904,561.711808-2014.69590399999,2576.407712
Liechtenstein,47.166,9.555373,18.393083,4.3707,18.393083-4.3707,22.763783
Latvia,56.879635,24.603189,423.49504,0,423.49504-0,423.49504
Iceland,64.963051,-19.020835,18.060045,0.172501,18.060045-0.172501,18.232546
Switzerland,46.818188,8.227512,0.326783,2844.087953,0.326783-2844.087953,2844.414736
Germany,51.165691,10.451526,0.060164,47218.43882,0.060164-47218.4388209998,47218.49898
Slovenia,46.151241,14.995463,225.4352,0.150028,225.4352-0.150027999999999,225.585228
Monaco,43.750298,7.412841,0,0.941387,0-0.941387,0.941387
United Arab Emirates,23.424076,53.847818,300.206472,67.636986,300.206471999999-67.636986,367.843458
Netherlands,52.132633,5.291266,0,8939.647189,0-8939.647189,8939.647189
